family,variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement,average_outer_steps,compute_multiplier,runtime_proxy_multiplier
round12_ultralow,linear,1.5,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,linear,1.5,hard_near_tie,1489,0.014103425117528543,0.0,1.0,0.0,0.001343183344526528,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0,0.0,3.028206850235057,1.0094022834116856,1.0094022834116856
round12_ultralow,linear,1.5,high_headroom_near_tie,70,0.02857142857142857,0.0,1.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,3.057142857142857,1.019047619047619,1.019047619047619
round12_ultralow,linear,1.5,baseline_error_near_tie,144,0.013888888888888888,0.0,1.0,0.0,0.013888888888888888,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,3.0277777777777777,1.0092592592592593,1.0092592592592593
round12_ultralow,linear,1.5,large_gap_control,1921,0.010931806350858927,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9979177511712649,0.0,0.0,0.0,3.021863612701718,1.0072878709005726,1.0072878709005726
round12_ultralow,linear,2.0,overall,8683,0.020039156973396293,0.0,1.0,0.0,0.0003455027064378671,0.0,0.9651042266497755,0.9651042266497755,0.0,0.0,0.0,3.0400783139467924,1.0133594379822641,1.0133594379822641
round12_ultralow,linear,2.0,stable_positive_v2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,linear,2.0,stable_positive_v2_committee,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
round12_ultralow,linear,2.0,hard_near_tie,1489,0.020819341840161182,0.0,1.0,0.0,0.0020147750167897917,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0,0.0,3.0416386836803224,1.0138795612267741,1.0138795612267741
round12_ultralow,linear,2.0,high_headroom_near_tie,70,0.04285714285714286,0.0,1.0,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,3.085714285714286,1.0285714285714287,1.0285714285714287
round12_ultralow,linear,2.0,baseline_error_near_tie,144,0.020833333333333332,0.0,1.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,3.0416666666666665,1.0138888888888888,1.0138888888888888
round12_ultralow,linear,2.0,large_gap_control,1921,0.014055179593961478,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9979177511712649,0.0,0.0,0.0,3.028110359187923,1.0093701197293077,1.0093701197293077
round12_ultralow,margin_regime,0.1,overall,8683,0.0011516756881262238,0.1,0.9,0.0,0.00023033513762524472,0.0,0.9651042266497755,0.9657952320626512,-0.005686049882571818,-0.00023033513762524472,0.0006910054128757342,3.0023033513762525,1.000767783792084,1.000767783792084
