family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,label
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,high_headroom_near_tie,2,70,14,4,0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,large_gap_control,2,1921,22,0,0,0.011391698375014907,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,overall,2,8683,119,4,0,0.013705807365378976,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9651026897677792,0.9653330249817812,-0.0017704953364416462,0.0,-0.13667020312440675,0.0,-0.00011510128913443831,-0.009433962264150943,0.0002303352140019193,-3.353874729085325,-0.14457682850000086,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,stable_near_tie,2,1436,15,4,0,0.009803573541592711,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9160198004180965,0.9160198004180965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.855496185137085,-1.5718346437500001,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,stable_positive_v2,2,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07481697383333333,0.09638595384999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,1.5,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07128869825,0.013459686324999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,baseline_error_near_tie,2,144,16,4,0,0.11190430252749373,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.020740883658113062,0.020740883658113062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8061523626069844,0.7940903834999997,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,hard_near_tie,2,1489,17,4,0,0.011016713499590212,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9038992067673575,0.9038992067673575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.835932094000703,-1.4727019675000024,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,high_headroom_near_tie,2,70,15,4,0,0.2142857142857143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4509436381999999,0.9103050264999992,memory_agree_blend_hybrid
round13_shortlist,prototype_memory_agree_blend_hybrid,2.0,large_gap_control,2,1921,26,0,0,0.013453554045117999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9979175474541178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.271932105865834,-0.31683713700000005,memory_agree_blend_hybrid
