episode_index,packet_index,packet_order_rank,packet_count,curriculum_level,max_tree_depth,packet_priority,packet_deadline,reference_cost,oracle_realized_cost,oracle_remaining_deadline,oracle_initial_slack,has_on_time_feasible_route,oracle_deadline_missed,suite
6,0,0,1,single_dynamic,2,3.0,25.433703825225212,21.5667445711699,22.309803103598547,3.1239007216266623,3.8669592540553133,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
7,2,0,3,multi_dynamic,3,2.0,26.87967805565882,24.273517564525083,24.87101400984494,2.0086640458138803,2.606160491133739,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
7,0,1,3,multi_dynamic,3,2.0,29.22733798142799,27.98734110905589,28.709435165691666,0.5179028157363228,1.2399968723720995,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
7,1,2,3,multi_dynamic,3,1.0,24.26346436685219,21.56206514708333,21.793976826764386,2.469487540087804,2.7013992197688594,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
8,0,0,4,multi_dynamic,3,2.0,21.79139686276447,21.010498214315266,21.669849836351098,0.12154702641336712,0.7808986484492024,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
8,1,1,4,multi_dynamic,3,2.0,27.085206876039834,25.780510585166024,26.381917799328793,0.7032890767110427,1.3046962908738102,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
8,2,2,4,multi_dynamic,3,1.0,26.383763265573283,23.79971851321896,24.132181710071546,2.2515815555017378,2.5840447523543233,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
8,3,3,4,multi_dynamic,3,1.0,32.04518926295014,30.11751619110462,30.39943562355872,1.6457536393914132,1.9276730718455184,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
9,0,0,1,single_dynamic,3,3.0,29.333063954421426,22.113543585801153,23.279076659141815,6.053987295279618,7.219520368620273,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
10,0,0,4,multi_dynamic,3,3.0,21.518322230230947,19.91330504518174,20.70463420728462,0.8136880229463257,1.6050171850492063,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
10,1,1,4,multi_dynamic,3,2.0,22.425385592666633,22.171150792255272,22.93381746792152,0.0,0.2542348004113606,True,True,e3_memory_hubs_rsm_round6_multiheavy_seed311
10,2,2,4,multi_dynamic,3,1.0,24.040203600609683,23.540715370249448,23.853169691934035,0.18703390867565117,0.49948823036023526,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
10,3,3,4,multi_dynamic,3,1.0,24.798238743830684,22.306477766877602,22.533555377528668,2.2646833663020134,2.4917609769530813,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
11,1,0,2,multi_dynamic,3,1.0,22.6537507852421,21.573112841198235,21.91863849796821,0.7351122872738873,1.0806379440438647,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
11,0,1,2,multi_dynamic,3,1.0,24.895998606417137,23.44880280599698,23.789789786681464,1.1062088197356719,1.4471958004201575,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
12,0,0,1,single_dynamic,3,3.0,24.42422398413473,21.595482630583167,22.51502179624817,1.9092021878865646,2.828741353551564,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
13,1,0,2,multi_dynamic,3,2.0,18.807716024047817,18.42188969677907,18.965697817640688,0.0,0.38582632726874877,True,True,e3_memory_hubs_rsm_round6_multiheavy_seed311
13,0,1,2,multi_dynamic,3,1.0,24.771638339011698,23.811015647552132,24.105492831146634,0.6661455078650618,0.9606226914595659,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
14,2,0,4,multi_dynamic,3,3.0,18.86395491459189,17.46019103518184,18.50904542798225,0.3549094866096394,1.4037638794100502,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
14,0,1,4,multi_dynamic,3,2.0,21.701576641783028,21.24647653291965,22.09541099524929,0.0,0.4551001088633768,True,True,e3_memory_hubs_rsm_round6_multiheavy_seed311
14,1,2,4,multi_dynamic,3,1.0,17.371092683073243,16.803600906489038,17.125535479379284,0.24555720369396017,0.5674917765842054,True,False,e3_memory_hubs_rsm_round6_multiheavy_seed311
14,3,3,4,multi_dynamic,3,1.0,24.169340005756148,23.841550195118906,24.230108049171317,0.0,0.3277898106372419,True,True,e3_memory_hubs_rsm_round6_multiheavy_seed311
