variant,split,suite,slice,decisions,disagreement,correction_rate,new_error_rate,base_target_match,student_target_match,mean_delta_regret,mean_delta_miss
kl,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,hard_near_tie,395,0.0,0.0,0.0,0.9240506329113924,0.9240506329113924,-2.1586108428154942e-16,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_near_tie,387,0.0,0.0,0.0,0.9250645994832042,0.9250645994832042,-1.9278291280312795e-16,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,high_headroom_near_tie,14,0.0,0.0,0.0,0.0,0.0,5.392511833893617e-16,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,baseline_error_near_tie,30,0.0,0.0,0.0,0.0,0.0,7.401486830834377e-17,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,large_gap_control,424,0.0,0.0,0.0,1.0,1.0,-8.012458621115517e-17,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,overall,1123,0.0017809439002671415,0.0,0.0017809439002671415,0.9599287622439893,0.9581478183437222,0.0064829149526457784,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,hard_near_tie,82,0.0,0.0,0.0,0.9512195121951219,0.9512195121951219,-6.488712006726906e-16,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_near_tie,81,0.0,0.0,0.0,0.9629629629629629,0.9629629629629629,-6.579099405186112e-16,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,high_headroom_near_tie,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,baseline_error_near_tie,4,0.0,0.0,0.0,0.0,0.0,2.0816681711721685e-17,0.0
kl,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,large_gap_control,53,0.0,0.0,0.0,1.0,1.0,3.35161667811368e-17,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,overall,1318,0.11305007587253414,0.024279210925644917,0.08877086494688922,0.956752655538695,0.8922610015174507,0.4160161658737112,0.0007587253414264037
kl,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_positive_pack,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,-0.5038890838623052,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,hard_near_tie,199,0.2914572864321608,0.09045226130653267,0.20100502512562815,0.8844221105527639,0.7738693467336684,0.2120721280275277,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_near_tie,190,0.2578947368421053,0.07894736842105263,0.17894736842105263,0.8947368421052632,0.7947368421052632,0.2176714897155761,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,high_headroom_near_tie,15,0.7333333333333333,0.7333333333333333,0.0,0.0,0.7333333333333333,-1.7435633341471355,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,baseline_error_near_tie,23,0.782608695652174,0.782608695652174,0.0,0.0,0.782608695652174,-1.3204671610956606,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,large_gap_control,308,0.04220779220779221,0.0,0.04220779220779221,0.9935064935064936,0.9512987012987013,0.5286820739894719,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,overall,1711,0.17358270017533606,0.029222676797194622,0.14436002337814144,0.9701928696668615,0.8550555230859147,1.0765885264465225,0.004091174751607247
kl,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,hard_near_tie,330,0.35454545454545455,0.11818181818181818,0.23636363636363636,0.8818181818181818,0.7636363636363637,0.30950356685754005,0.0030303030303030303
kl,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_near_tie,312,0.3173076923076923,0.10576923076923077,0.21153846153846154,0.8942307692307693,0.7884615384615384,0.32584376212878086,0.003205128205128205
kl,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,high_headroom_near_tie,17,1.0,1.0,0.0,0.0,1.0,-2.486780839807847,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,baseline_error_near_tie,41,1.0,0.9512195121951219,0.04878048780487805,0.04878048780487805,0.9512195121951219,-1.4661716600743735,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,large_gap_control,529,0.0831758034026465,0.0,0.0831758034026465,1.0,0.9168241965973535,1.0500133402631504,0.003780718336483932
kl,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,overall,1310,0.07862595419847328,0.017557251908396947,0.061068702290076333,0.9580152671755725,0.9145038167938931,0.20965786053024177,0.0022900763358778627
kl,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,hard_near_tie,128,0.1171875,0.046875,0.0703125,0.9296875,0.90625,0.062464207410812225,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_near_tie,124,0.0967741935483871,0.024193548387096774,0.07258064516129033,0.9596774193548387,0.9112903225806451,0.07360156889884686,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,high_headroom_near_tie,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,-1.2678457895914719,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,baseline_error_near_tie,9,0.6666666666666666,0.6666666666666666,0.0,0.0,0.6666666666666666,-0.6887577904595271,0.0
kl,round11_feature_cache_seed316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,large_gap_control,133,0.03007518796992481,0.0,0.03007518796992481,1.0,0.9699248120300752,0.3948531903718648,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,overall,1581,0.13851992409867173,0.031625553447185324,0.105629348513599,0.9664769133459835,0.8924731182795699,0.35783415817897724,0.006325110689437065
residual,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_positive_pack,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,hard_near_tie,355,0.3295774647887324,0.09577464788732394,0.23098591549295774,0.8985915492957747,0.7633802816901408,0.4805037726818674,0.014084507042253521
residual,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,stable_near_tie,342,0.30409356725146197,0.07894736842105263,0.2222222222222222,0.9152046783625731,0.7719298245614035,0.4976916396827027,0.014619883040935672
residual,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,high_headroom_near_tie,18,0.9444444444444444,0.8888888888888888,0.0,0.0,0.8888888888888888,-2.1570280922783756,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,baseline_error_near_tie,37,0.972972972972973,0.918918918918919,0.02702702702702703,0.02702702702702703,0.918918918918919,-1.2857460073522626,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_mixed_compute_round9_eval_seed315,large_gap_control,474,0.023206751054852322,0.004219409282700422,0.0189873417721519,0.9957805907172996,0.9810126582278481,0.1377416471891765,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,overall,1640,0.13475609756097562,0.025609756097560974,0.10914634146341463,0.974390243902439,0.8908536585365854,0.4976839334499544,0.018902439024390243
residual,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,hard_near_tie,395,0.27341772151898736,0.0759493670886076,0.19746835443037974,0.9240506329113924,0.8025316455696202,0.4595236742043795,0.02278481012658228
residual,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,stable_near_tie,387,0.25839793281653745,0.07493540051679587,0.1834625322997416,0.9250645994832042,0.8165374677002584,0.46503725717234035,0.023255813953488372
residual,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,high_headroom_near_tie,14,1.0,1.0,0.0,0.0,1.0,-2.4153343609401148,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,baseline_error_near_tie,30,1.0,1.0,0.0,0.0,1.0,-1.5452452977498372,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_deeper_packets6_round9_eval_seed315,large_gap_control,424,0.03537735849056604,0.0,0.03537735849056604,1.0,0.964622641509434,0.29312141661374064,0.0047169811320754715
residual,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,overall,1123,0.14158504007123776,0.03829029385574354,0.10329474621549421,0.9599287622439893,0.8949243098842387,0.29392994416152796,0.0026714158504007124
residual,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,hard_near_tie,82,0.15853658536585366,0.04878048780487805,0.10975609756097561,0.9512195121951219,0.8902439024390244,0.19995214880966494,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,stable_near_tie,81,0.14814814814814814,0.037037037037037035,0.1111111111111111,0.9629629629629629,0.8888888888888888,0.20460962366174704,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,high_headroom_near_tie,3,1.0,1.0,0.0,0.0,1.0,-2.0985755920410156,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,baseline_error_near_tie,4,1.0,1.0,0.0,0.0,1.0,-1.6182575225830078,0.0
residual,round11_feature_cache_seed315,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed315,large_gap_control,53,0.018867924528301886,0.0,0.018867924528301886,1.0,0.9811320754716981,0.1594778456777897,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,overall,1318,0.10925644916540213,0.03110773899848255,0.07814871016691957,0.956752655538695,0.909711684370258,0.14349511505439524,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_positive_pack,3,0.0,0.0,0.0,0.0,0.0,-5.921189464667501e-16,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,hard_near_tie,199,0.3417085427135678,0.10050251256281408,0.24120603015075376,0.8844221105527639,0.7437185929648241,0.2842272945384883,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_near_tie,190,0.3105263157894737,0.08947368421052632,0.22105263157894736,0.8947368421052632,0.7631578947368421,0.2932445325349506,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,high_headroom_near_tie,15,0.8,0.8,0.0,0.0,0.8,-1.9594398498535157,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,baseline_error_near_tie,23,0.8695652173913043,0.8695652173913043,0.0,0.0,0.8695652173913043,-1.4906160935111668,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_mixed_compute_round9_eval_seed316,large_gap_control,308,0.00974025974025974,0.0,0.00974025974025974,0.9935064935064936,0.9837662337662337,0.0570681466684713,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,overall,1711,0.1005260081823495,0.029222676797194622,0.07130333138515488,0.9701928696668615,0.9281122150789012,0.1472471171411974,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,hard_near_tie,330,0.3515151515151515,0.11818181818181818,0.23333333333333334,0.8818181818181818,0.7666666666666667,0.26721630674419966,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_near_tie,312,0.3141025641025641,0.10576923076923077,0.20833333333333334,0.8942307692307693,0.7916666666666666,0.28111685239351697,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,high_headroom_near_tie,17,1.0,1.0,0.0,0.0,1.0,-2.486780839807847,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,baseline_error_near_tie,41,1.0,0.9512195121951219,0.04878048780487805,0.04878048780487805,0.9512195121951219,-1.4661716600743735,0.0
residual,round11_feature_cache_seed316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,large_gap_control,529,0.00945179584120983,0.0,0.00945179584120983,1.0,0.9905482041587902,0.06278264995784073,0.0
