group,label,budget_pct,stable_positive_recall,system_target_match,hard_mean_delta_regret,overall_mean_delta_regret,overall_mean_delta_miss
calibration,branch_calibrated_sharp,1.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.01449585865643695,-0.00023020257826885
calibration,branch_strength_sharp,1.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0148667043324274,-0.00023020257826885
calibration,branchwise_margin_max,1.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01518452360642945,-0.00023020257826885
calibration,learned_gate_sharp,1.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.014544632317160449,-0.00023020257826885
calibration,branch_calibrated_sharp,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01544467426704955,-0.00023020257826885
calibration,branch_strength_sharp,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01544467426704955,-0.00023020257826885
calibration,branchwise_margin_max,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01544467426704955,-0.00023020257826885
calibration,learned_gate_sharp,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01544467426704955,-0.00023020257826885
calibration,branch_calibrated_sharp,2.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01617292340480665,-0.00023020257826885
calibration,branch_strength_sharp,2.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01544467426704955,-0.00023020257826885
calibration,branchwise_margin_max,2.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.0163578017099328,-0.00023020257826885
calibration,learned_gate_sharp,2.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01612564069815675,-0.00023020257826885
max_timing,branchwise_lift_before_mix,0.75,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0126777215414015,-0.00023020257826885
max_timing,branchwise_max_before_mix,0.75,0.6666666666666666,0.9052612033134293,-0.0063538988612739,-0.0136858548592878,-0.00023020257826885
max_timing,global_max_after_mix,0.75,0.5,0.9066487575554064,-0.0070913249490403,-0.0102850628327516,-0.0002303351376252
max_timing,branchwise_lift_before_mix,1.0,0.6666666666666666,0.9052612033134293,-0.0069024009428793,-0.0148667043324274,-0.00023020257826885
max_timing,branchwise_max_before_mix,1.0,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.014472873105311,-0.00023020257826885
max_timing,global_max_after_mix,1.0,0.5,0.9066487575554064,-0.0070913249490403,-0.0106814521860722,-0.0002303351376252
max_timing,branchwise_lift_before_mix,1.5,0.8333333333333333,0.9060222383210397,-0.00900136263221725,-0.01497620592219,-0.0001151012891344
