episode_index,packet_index,packet_order_rank,packet_count,curriculum_level,max_tree_depth,packet_priority,packet_deadline,reference_cost,oracle_realized_cost,oracle_remaining_deadline,oracle_initial_slack,has_on_time_feasible_route,oracle_deadline_missed,suite,config_path,split,manifest_hash
14,0,0,1,single_dynamic,3,2.0,16.51044092547002,25.02690724039396,26.22362224102918,0.0,-8.516466314923939,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
15,2,0,4,multi_dynamic,3,3.0,8.67900373340921,51.89045275998507,52.92343264862798,0.0,-43.211449026575856,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
15,1,1,4,multi_dynamic,3,2.0,10.238670191287836,46.71354533028041,48.52533888746591,0.0,-36.47487513899257,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
15,3,2,4,multi_dynamic,3,2.0,10.878923161271521,48.455258174915315,49.07995459750959,0.0,-37.57633501364379,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
15,0,3,4,multi_dynamic,3,2.0,17.649718454523324,41.0356751386049,42.043998123769455,0.0,-23.385956684081577,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
16,0,0,1,single_dynamic,3,1.0,8.078613301704063,23.861264597033184,24.088841486593015,0.0,-15.78265129532912,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
17,1,0,4,multi_dynamic,3,3.0,9.628385297135871,36.72784337581976,37.429979316050954,0.0,-27.099458078683888,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
17,2,1,4,multi_dynamic,3,3.0,12.459569674675588,53.2424448296458,56.17090630929437,0.0,-40.78287515497021,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
17,3,2,4,multi_dynamic,3,3.0,16.33394563654455,51.14223192457719,52.73671665359359,0.0,-34.80828628803264,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
17,0,3,4,multi_dynamic,3,1.0,11.09087935876384,35.3439435987837,35.81020139873705,0.0,-24.253064240019864,False,True,e3_memory_hubs_rsm_round3_seed211,configs/experiments/e3_memory_hubs_rsm_round3_seed211.yaml,test,da9092ac5f183308a58afeec9711461fe45c04414fd2a452f13e6068b6def4ed
