variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss,selected_disagreement,average_outer_steps,compute_multiplier,runtime_proxy_multiplier
margin_regime,0.5,high_headroom_near_tie,70,0.1571428571428571,0.0625,0.0,0.01428571428571425,0.0,0.0,0.01428571428571425,-0.10114593505859375,-0.01428571428571425,0.01428571428571425,3.314285714285714,1.1047619047619046,1.1047619047619046
margin_regime,0.5,baseline_error_near_tie,144,0.07638888888888887,0.06163194444444445,0.0,0.0069444444444444345,0.0,0.020833333333333325,0.02777777777777776,-0.04916816287570527,-0.0069444444444444345,0.0069444444444444345,3.1527777777777777,1.0509259259259258,1.0509259259259258
margin_regime,0.5,large_gap_control,1921,0.0020822488287349826,0.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.006544512302412547,0.0,0.00104112441436747,3.00416449765747,1.0013881658858235,1.0013881658858235
margin_regime,1.0,overall,8683,0.01013474605551072,0.022727272727272697,0.0,0.00023033513762517544,0.0,0.9651042266497755,0.9675227455948407,-0.013426270968735774,-0.0002303351376252181,0.002533686513877646,3.0202694921110216,1.0067564973703405,1.0067564973703405
margin_regime,1.0,stable_positive_pack,4,0.5,1.0,0.0,0.5,0.0,0.0,0.5,-2.6397457122802734,-0.25,0.5,4.0,1.3333333333333333,1.3333333333333333
margin_regime,1.0,hard_near_tie,1489,0.025520483546004016,0.05629178075114944,0.0,0.001343183344526485,0.0,0.9053055742108798,0.9066487575554063,-0.0070913249490402955,-0.000671591672263221,0.001343183344526485,3.0510409670920082,1.0170136556973361,1.0170136556973361
margin_regime,1.0,stable_near_tie,1436,0.02646239554317539,0.056095993143346894,0.0,0.0013927576601670626,0.0,0.9171309192200557,0.9185236768802229,-0.007353052123343361,-0.0006963788300835272,0.0013927576601670626,3.0529247910863506,1.0176415970287835,1.0176415970287835
margin_regime,1.0,high_headroom_near_tie,70,0.5428571428571428,0.058461538461538454,0.0,0.0285714285714285,0.0,0.0,0.0285714285714285,-0.15084261213030128,-0.01428571428571425,0.0285714285714285,4.085714285714285,1.3619047619047617,1.3619047619047617
margin_regime,1.0,baseline_error_near_tie,144,0.2638888888888889,0.0587179487179487,0.0,0.01388888888888888,0.0,0.020833333333333325,0.0347222222222222,-0.07332626978556307,-0.0069444444444444345,0.01388888888888888,3.5277777777777777,1.1759259259259258,1.1759259259259258
margin_regime,1.0,large_gap_control,1921,0.0020822488287349826,0.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.006544512302412547,0.0,0.00104112441436747,3.00416449765747,1.0013881658858235,1.0013881658858235
margin_regime,2.0,overall,8683,0.020039156973396213,0.017238069897447885,0.0,0.00034550270643781675,0.00011516756881258403,0.9651042266497755,0.9684440861453415,-0.015073253223454758,-0.0002303351376252181,0.0036853622020038518,3.0400783139467924,1.0133594379822641,1.0133594379822641
margin_regime,2.0,stable_positive_pack,4,0.75,1.0,0.0,0.75,0.0,0.0,0.75,-3.329254627227783,-0.25,0.75,4.5,1.5,1.5
margin_regime,2.0,hard_near_tie,1489,0.05842847548690393,0.03649776496378543,0.0,0.0020147750167897487,0.0,0.9053055742108798,0.9073203492276696,-0.00894359872996042,-0.000671591672263221,0.0020147750167897487,3.116856950973808,1.0389523169912693,1.0389523169912693
margin_regime,2.0,stable_near_tie,1436,0.060584958217270175,0.03628589713070276,0.0,0.002089136490250642,0.0,0.9171309192200557,0.9192200557103064,-0.00927368976943667,-0.0006963788300835272,0.002089136490250642,3.1211699164345403,1.0403899721448469,1.0403899721448469
margin_regime,2.0,high_headroom_near_tie,70,0.9285714285714286,0.04640151515151515,0.0,0.0428571428571428,0.0,0.0,0.0428571428571428,-0.1902431215558733,-0.01428571428571425,0.0428571428571428,4.857142857142858,1.6190476190476193,1.6190476190476193
margin_regime,2.0,baseline_error_near_tie,144,0.5486111111111112,0.040777051561365275,0.0,0.020833333333333325,0.0,0.020833333333333325,0.04166666666666665,-0.09247929520077172,-0.0069444444444444345,0.020833333333333325,4.097222222222222,1.3657407407407407,1.3657407407407407
margin_regime,2.0,large_gap_control,1921,0.0020822488287349826,0.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.006544512302412547,0.0,0.00104112441436747,3.00416449765747,1.0013881658858235,1.0013881658858235
margin_regime,5.0,overall,8683,0.0500978924334907,0.006900540010909242,0.006884696131954535,0.00034550270643781675,0.0006910054128757043,0.9651042266497755,0.967983415870091,-0.009951386215032505,0.00011516756881258403,0.004376367614879614,3.1001957848669814,1.0333985949556606,1.0333985949556606
margin_regime,5.0,stable_positive_pack,4,0.75,1.0,0.0,0.75,0.0,0.0,0.75,-3.329254627227783,-0.25,0.75,4.5,1.5,1.5
margin_regime,5.0,hard_near_tie,1489,0.19610476830087303,0.010369791552278311,0.010098149481741602,0.0020147750167897487,0.0020147750167897748,0.9053055742108798,0.9053055742108798,0.01160313316124886,0.0013431833445264978,0.004029550033579579,3.392209536601746,1.130736512200582,1.130736512200582
margin_regime,5.0,stable_near_tie,1436,0.1998607242339832,0.010491712637132694,0.010381598509834736,0.002089136490250642,0.0020891364902506943,0.9171309192200557,0.9171309192200557,0.012031382504944007,0.0013927576601671108,0.004178272980501336,3.3997214484679663,1.1332404828226554,1.1332404828226554
margin_regime,5.0,high_headroom_near_tie,70,0.9428571428571428,0.04545454545454545,0.0,0.0428571428571428,0.0,0.0,0.0428571428571428,-0.1902431215558733,-0.01428571428571425,0.0428571428571428,4.885714285714286,1.6285714285714288,1.6285714285714288
margin_regime,5.0,baseline_error_near_tie,144,0.75,0.027737278444825538,0.0,0.020833333333333325,0.0,0.020833333333333325,0.04166666666666665,-0.09247929520077172,-0.0069444444444444345,0.020833333333333325,4.5,1.5,1.5
margin_regime,5.0,large_gap_control,1921,0.0031233732431024948,0.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.006544512302412547,0.0,0.00104112441436747,3.006246746486205,1.0020822488287349,1.0020822488287349
