variant,split,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,target_match_rate,base_target_match_rate,compute_target_match_rate,mean_delta_regret,mean_delta_miss
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.5,large_gap_control,970,0.002061855670103093,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,overall,4339,0.0076054390412537455,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,hard_near_tie,657,0.015220700152207,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,0.75,large_gap_control,970,0.004123711340206186,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,overall,4339,0.010140585388338327,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,hard_near_tie,657,0.015220700152207,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,baseline_error_near_tie,73,0.0,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0684931506849315,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.0,large_gap_control,970,0.004123711340206186,0.0,1.0,0.0,0.9979381443298969,0.9979381443298969,0.9989690721649485,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,overall,4339,0.015210878082507491,0.0,1.0,0.0,0.9624337404932012,0.9624337404932012,0.9668126296381655,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,stable_positive_v2,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,hard_near_tie,657,0.0197869101978691,0.0,1.0,0.0,0.8919330289193302,0.8919330289193302,0.893455098934551,0.0,0.0
prototype_branchwise_max_negative_cleanup_support_agree_mix,round11_feature_cache_seed316_metadata,1.5,high_headroom_near_tie,35,0.0,0.0,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.0
