seed,suite,slice,decisions,base_target_match,round11_teacher_gain,v2_best_teacher_gain,v2_best_teacher_target_match,positive_teacher_count_mean,safe_harmful_teacher_rate,committee_support_mean
316,a1_multiheavy_mixed_compute_round9_eval_seed316,large_gap_control,308,0.9935064935064936,0.012750006341314936,0.04081820822381354,0.006493506493506494,0.032467532467532464,0.003246753246753247,0.025974025974025976
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,overall,1711,0.9701928696668615,-0.011843054284832061,0.0,0.0,0.05902980713033314,0.0017533606078316774,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,hard_near_tie,330,0.8818181818181818,0.0,0.0,0.0,0.23636363636363636,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_near_tie,312,0.8942307692307693,0.0,0.0,0.0,0.21153846153846154,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,high_headroom_near_tie,17,0.0,0.0,0.0,0.0,2.0,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,baseline_error_near_tie,41,0.04878048780487805,0.0,0.0,0.0,1.9024390243902438,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,round11_stable_positive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_positive_v2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_positive_v2_committee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_positive_v2_strict,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,large_gap_control,529,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,overall,1310,0.9580152671755725,0.05033480083669415,0.05195263287493291,0.012977099236641221,0.0916030534351145,0.003816793893129771,0.03206106870229008
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,hard_near_tie,128,0.9296875,0.0,0.0,0.0,0.1171875,0.0078125,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_near_tie,124,0.9596774193548387,0.0,0.0,0.0,0.06451612903225806,0.008064516129032258,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,high_headroom_near_tie,3,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,baseline_error_near_tie,9,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,round11_stable_positive,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_positive_v2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_positive_v2_committee,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_positive_v2_strict,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,large_gap_control,133,1.0,0.0,0.0,0.0,0.0,0.0,0.0
