seed,suite,slice,decisions,teacher_disagreement,helpful_rate,harmful_rate,stable_positive_rate,unstable_positive_rate,base_target_match,teacher_target_match,recovery_rate,baseline_success_break,mean_delta_regret,p95_delta_regret,mean_delta_miss,mean_teacher_gain
316.0,a1_multiheavy_mixed_compute_round9_eval_seed316,stable_positive_pack,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,-2.5828234354654946,-1.6363040924072267,0.0,2.5828234354654946
316.0,a1_multiheavy_mixed_compute_round9_eval_seed316,unstable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_mixed_compute_round9_eval_seed316,harmful_pack,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8684453964233398,1.2786843299865722,0.0,-0.8684453964233398
316.0,a1_multiheavy_mixed_compute_round9_eval_seed316,large_gap_control,308,0.00974025974025974,0.006493506493506494,0.003246753246753247,0.0,0.0,0.9935064935064936,0.9967532467532467,0.0,0.003246753246753247,-0.012750006341314936,0.0,0.0,0.012750006341314936
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,overall,1711,0.0017533606078316774,0.0,0.0017533606078316774,0.0,0.0,0.9701928696668615,0.9684395090590298,0.0,0.0017533606078316774,0.011843054284832061,0.0,0.0005844535359438924,-0.011843054284832061
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,hard_near_tie,330,0.0,0.0,0.0,0.0,0.0,0.8818181818181818,0.8818181818181818,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_near_tie,312,0.0,0.0,0.0,0.0,0.0,0.8942307692307693,0.8942307692307693,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,high_headroom_near_tie,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,baseline_error_near_tie,41,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,unstable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,harmful_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_deeper_packets6_round9_eval_seed316,large_gap_control,529,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,overall,1310,0.013740458015267175,0.012213740458015267,0.0015267175572519084,0.0,0.0,0.9580152671755725,0.9687022900763359,0.0,0.0015267175572519084,-0.05033480083669415,0.0,0.0,0.05033480083669415
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,hard_near_tie,128,0.0,0.0,0.0,0.0,0.0,0.9296875,0.9296875,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_near_tie,124,0.0,0.0,0.0,0.0,0.0,0.9596774193548387,0.9596774193548387,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,high_headroom_near_tie,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,baseline_error_near_tie,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,stable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,unstable_positive_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,harmful_pack,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.0,a1_multiheavy_ood_heavy_dynamic_round9_eval_seed316,large_gap_control,133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
,all,overall,13121,0.030561694992759698,0.01059370474811371,0.01996799024464599,0.003505830348296624,0.00022864110967151893,0.9599878058074842,0.9504610929045042,0.0037344714579681426,0.01996799024464599,0.10410315939024739,0.0,0.006783019586921729,-0.10410315939024739
