budget_pct,leader_variant,stable_positive_recall,hard_target_match,overall_mean_delta_regret,source_name,dispatcher_stable_positive_recall,dispatcher_hard_target_match,dispatcher_hard_mean_delta_regret,dispatcher_overall_mean_delta_regret,dispatcher_overall_p95_delta_regret,dispatcher_overall_mean_delta_miss,stable_positive_recall_gain,hard_target_match_gain,overall_mean_delta_regret_gain
1.25,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0151845236064295,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.009709782667892514,0.0,-0.00023020257826887662,-0.16666666666666663,-0.0007610350076102668,0.0054747409385369865
1.5,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0154446742670496,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.009709782667892514,0.0,-0.00023020257826887662,-0.16666666666666663,-0.0007610350076102668,0.005734891599157086
2.0,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0161729234048067,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.013041332348188706,0.0,-0.00023020257826887662,-0.16666666666666663,-0.0007610350076102668,0.0031315910566179946
2.5,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0165429999212511,rerun1,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.01475600931705709,0.0,-0.00023020257826887662,-0.16666666666666663,-0.0007610350076102668,0.0017869906041940095
0.1,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.0056546693601128,rerun2,0.0,0.9038992067673575,0.0,-0.0052900349068599264,0.0,-0.00011510128913443831,-0.5,-0.000600961538461342,0.00036463445325287357
0.25,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.008274341055327,rerun2,0.0,0.9038992067673575,0.0,-0.00698755255156234,0.0,-0.00011510128913443831,-0.5,-0.000600961538461342,0.001286788503764659
0.5,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.5,0.9045001683058188,-0.0101093544033739,rerun2,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.008525438513575045,0.0,-0.00023020257826887662,0.16666666666666663,0.0007610350076104888,0.0015839158897988544
0.75,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.6666666666666666,0.9052612033134292,-0.0128704501312843,rerun2,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.009180218243618195,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.0036902318876661042
1.0,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.6666666666666666,0.9052612033134292,-0.01417378664117,rerun2,0.6666666666666666,0.9052612033134293,-0.006902400942879362,-0.010878597250304014,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.003295189390865986
1.25,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0154446742670496,rerun2,0.8333333333333333,0.9060222383210397,-0.009001362632217291,-0.011991800026029311,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.0034528742410202887
1.5,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0159407623930306,rerun2,0.8333333333333333,0.9060222383210397,-0.009001362632217291,-0.012251950686649422,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.003688811706381176
2.0,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0163578017099328,rerun2,0.8333333333333333,0.9060222383210397,-0.009001362632217291,-0.015338150780070208,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.0010196509298625936
2.5,prototype_branchwise_max_negative_cleanup_support_agree_mix_hybrid,0.8333333333333333,0.9060222383210396,-0.0165429999212511,rerun2,0.8333333333333333,0.9060222383210397,-0.009001362632217291,-0.015570311791846293,0.0,-0.00023020257826887662,0.0,1.1102230246251565e-16,0.0009726881294048056
