family,variant,budget_pct,slice,split_count,decisions,selected_count,stable_positive_total,stable_positive_selected,coverage,stable_positive_recall,defer_precision,false_positive_rate,harmful_selection_rate,false_positive_correction_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,p95_delta_regret,selected_mean_delta_regret,selected_p95_delta_regret,mean_delta_miss,selected_mean_delta_miss,selected_disagreement,score_mean,score_p95,source_name
round13_dispatcher,round13_archived_score_band_dispatcher,2.5,large_gap_control,2,1921,10,0,0,0.005226728240484786,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,-2.0953346888224282,-0.2841089248657229,0.0,0.0,0.0010309278350515464,-994773271.7403789,-1000000000.0,archived
round13_dispatcher,round13_archived_score_band_dispatcher,2.5,overall,2,8683,157,4,4,0.018081247981284142,1.0,0.025559883154819864,0.9744401168451802,0.0,0.0,0.0004608030637368813,0.0,0.9651026897677792,0.9685594422423376,-0.01603551385963974,0.0,-0.8907035581866707,0.0,-0.00023020257826887662,-0.012658227848101266,0.003571986399425825,-981918751.9674494,-1000000000.0,archived
round13_dispatcher,round13_archived_score_band_dispatcher,2.5,stable_near_tie,2,1436,58,4,4,0.03997554530035893,1.0,0.07950310559006211,0.9204968944099379,0.0,0.0,0.0030134500848025872,0.0,0.9160198004180965,0.9190332505028991,-0.010559377413371918,0.0,-0.2695909417193869,0.0,-0.0006172839506172839,-0.014285714285714285,0.0030134500848025872,-960024454.5915318,-1000000000.0,archived
round13_dispatcher,round13_archived_score_band_dispatcher,2.5,stable_positive_v2,2,4,4,4,4,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-4.831519444783528,-4.358259773254394,-4.831519444783528,-4.358259773254394,-0.5,-0.5,1.0,4.257758126666666,4.655936179999999,archived
round13_dispatcher,round13_archived_score_band_dispatcher,2.5,stable_positive_v2_committee,2,2,2,2,2,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-1.0674257278442383,-0.7869928359985352,-1.0674257278442383,-0.7869928359985352,0.0,0.0,0.5,1.382675835,1.6686980534999998,archived
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,baseline_error_near_tie,2,144,2,4,1,0.014084507042253521,0.5,0.25,0.25,0.0,0.0,0.007042253521126761,0.0,0.020740883658113062,0.027783137179239824,-0.049860672211982836,0.0,-1.7700538635253906,-0.1770053863525392,-0.007042253521126761,-0.25,0.007042253521126761,-568975495.7557535,3.958380031499999,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,hard_near_tie,2,1489,2,4,1,0.001201923076923077,0.5,0.25,0.25,0.0,0.0,0.0006009615384615385,0.0,0.9038992067673575,0.9045001683058189,-0.004254937171936035,0.0,-1.7700538635253906,-0.1770053863525392,-0.0006009615384615385,-0.25,0.0006009615384615385,-957497292.3703876,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,high_headroom_near_tie,2,70,2,4,1,0.02857142857142857,0.5,0.25,0.25,0.0,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,-0.10114593505859375,0.0,-1.7700538635253906,-0.1770053863525392,-0.014285714285714285,-0.25,0.014285714285714285,-228571426.5311045,4.485784566499996,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,large_gap_control,2,1921,3,0,0,0.0015566901904668987,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979175474541178,0.9989484752891693,-0.006480416563368336,0.0,-3.1430020332336426,-2.8712805271148683,0.0,0.0,0.0010309278350515464,-993278372.1746006,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,overall,2,8683,10,4,1,0.0011516760700095966,0.5,0.1,0.9,0.0,0.0,0.00011510128913443831,0.0,0.9651026897677792,0.965793828045518,-0.00568694658713784,0.0,-4.93719711303711,-0.5682178497314458,-0.00023020257826887662,-0.2,0.0006911382777388005,-979151678.7756042,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,stable_near_tie,2,1436,2,4,1,0.0012345679012345679,0.5,0.25,0.25,0.0,0.0,0.0006172839506172839,0.0,0.9160198004180965,0.9166370843687137,-0.00437050336672936,0.0,-1.7700538635253906,-0.1770053863525392,-0.0006172839506172839,-0.25,0.0006172839506172839,-955849406.2769463,-1000000000.0,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,stable_positive_v2,2,4,1,4,1,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-3.5401077270507812,-3.5401077270507812,-3.5401077270507812,-3.5401077270507812,-0.5,-0.5,0.5,-166666662.53451177,5.1604402715,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.1,stable_positive_v2_committee,2,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-249999999.74110195,-24999999.50809373,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,baseline_error_near_tie,2,144,7,4,2,0.048909897742620105,0.6666666666666666,0.35,0.65,0.0,0.0,0.013891568589619912,0.0,0.020740883658113062,0.034632452247732974,-0.07368784615047277,0.0,-1.577713394165039,-0.08696918487548835,-0.007042253521126761,-0.1,0.013891568589619912,-568975495.7557535,3.958380031499999,rerun1
round13_dispatcher,round13_rerun1_score_band_dispatcher,0.25,hard_near_tie,2,1489,7,4,2,0.004526877707528392,0.6666666666666666,0.35,0.65,0.0,0.0,0.0013619965460718885,0.0,0.9038992067673575,0.9052612033134293,-0.006902400942879362,0.0,-1.577713394165039,-0.08696918487548835,-0.0006009615384615385,-0.1,0.0013619965460718885,-957497292.3703876,-1000000000.0,rerun1
