variant,budget_pct,slice,decisions,coverage,defer_precision,false_positive_rate,harmful_selection_rate,correction_rate,new_error_rate,base_target_match,system_target_match,mean_delta_regret,mean_delta_miss
prototype_support_weighted_evidence_agree_hybrid,0.25,high_headroom_near_tie,70.0,0.17142857142857143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.25,large_gap_control,1921.0,0.0015616866215512754,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9984383133784487,-0.0035865849222384786,0.0
prototype_support_weighted_evidence_agree_hybrid,0.25,overall,8683.0,0.002533686513877692,0.0,1.0,0.0,0.0,0.0,0.9651042266497755,0.9656800644938386,-0.004936463407529439,-0.00011516756881262236
prototype_support_weighted_evidence_agree_hybrid,0.25,stable_positive_v2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.5,baseline_error_near_tie,144.0,0.20833333333333334,0.0,1.0,0.0,0.0,0.0,0.020833333333333332,0.020833333333333332,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.5,hard_near_tie,1489.0,0.020147750167897917,0.0,1.0,0.0,0.0,0.0,0.9053055742108798,0.9053055742108798,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.5,high_headroom_near_tie,70.0,0.37142857142857144,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.5,large_gap_control,1921.0,0.002082248828735034,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0
prototype_support_weighted_evidence_agree_hybrid,0.5,overall,8683.0,0.005067373027755384,0.0,1.0,0.0,0.0,0.0,0.9651042266497755,0.9659103996314637,-0.00598725544394511,-0.00011516756881262236
prototype_support_weighted_evidence_agree_hybrid,0.5,stable_positive_v2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prototype_support_weighted_evidence_agree_hybrid,0.75,baseline_error_near_tie,144.0,0.3055555555555556,0.02414021164021164,0.9758597883597884,0.0,0.006944444444444444,0.0,0.020833333333333332,0.027777777777777776,-0.024158106909857854,0.0
prototype_support_weighted_evidence_agree_hybrid,0.75,hard_near_tie,1489.0,0.03022162525184688,0.021011225175093542,0.9789887748249065,0.0,0.000671591672263264,0.0,0.9053055742108798,0.905977165883143,-0.0023363112122360852,0.0
prototype_support_weighted_evidence_agree_hybrid,0.75,high_headroom_near_tie,70.0,0.5,0.03125,0.96875,0.0,0.014285714285714285,0.0,0.0,0.014285714285714285,-0.049696677071707586,0.0
prototype_support_weighted_evidence_agree_hybrid,0.75,large_gap_control,1921.0,0.002082248828735034,0.0,1.0,0.0,0.0,0.0,0.9979177511712649,0.9989588755856325,-0.0065445123024125825,0.0
prototype_support_weighted_evidence_agree_hybrid,0.75,overall,8683.0,0.007601059541633076,0.015142790335696016,0.984857209664304,0.0,0.00011516756881262236,0.0,0.9651042266497755,0.966140734769089,-0.006865956878574243,-0.00011516756881262236
prototype_support_weighted_evidence_agree_hybrid,0.75,stable_positive_v2,4.0,0.25,0.75,0.0,0.0,0.25,0.0,0.0,0.25,-0.8696918487548828,0.0
